yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
2058,41,0,601732,1
2058,42,0,173937,1
2058,43,0,818057,1
2058,51,0,106505,1
2058,52,0,18701324,1
2058,53,0,824808,1
2058,54,0,2210773,1
2058,61,0,2049693,1
2058,62,0,1869066,1
2059,11,0,11370008,1
2059,21,0,65597039,1
2059,31,0,236433183,1
2059,32,0,22478858,1
2059,41,0,607442,1
2059,42,0,175587,1
2059,43,0,825821,1
2059,51,0,108036,1
2059,52,0,18970020,1
2059,53,0,836658,1
2059,54,0,2242537,1
2059,61,0,2046823,1
2059,62,0,1866448,1
2060,11,0,11440345,1
2060,21,0,65494247,1
2060,31,0,238559349,1
2060,32,0,22681003,1
2060,41,0,613207,1
2060,42,0,177254,1
2060,43,0,833658,1
2060,51,0,109588,1
2060,52,0,19242576,1
2060,53,0,848679,1
2060,54,0,2274757,1
2060,61,0,2043956,1
2060,62,0,1863834,1
